iter	Logloss
0	0.6808010853
1	0.6694779302
2	0.6565643759
3	0.6468002964
4	0.6360218632
5	0.6236999886
6	0.6128494813
7	0.6024558976
8	0.591180065
9	0.5802636664
10	0.5699177903
11	0.5620701236
12	0.5542686257
13	0.5429536736
14	0.5324225121
15	0.5233251512
16	0.5144857211
17	0.5055333301
18	0.4964764341
19	0.4884164506
20	0.4802408387
21	0.4724498088
22	0.46386087
23	0.4556767947
24	0.4490381511
25	0.442578478
26	0.4360487147
27	0.4287196525
28	0.4224678622
29	0.4156710595
30	0.4098945117
31	0.4038097714
32	0.3981972228
33	0.3920497396
34	0.3862594538
35	0.3796560248
36	0.3739758345
37	0.3674669739
38	0.3619720511
39	0.3571623021
40	0.3526534331
41	0.3476560069
42	0.3426573004
43	0.3372682517
44	0.3320643545
45	0.3268349296
46	0.3228309925
47	0.3191481469
48	0.314509633
49	0.3103496345
50	0.3062463106
51	0.3021079118
52	0.2971275272
53	0.2933077808
54	0.2897515488
55	0.2858997757
56	0.282153019
57	0.2790649667
58	0.2754408648
59	0.2721556856
60	0.2688736245
61	0.2656934873
62	0.2625009995
63	0.2594135492
64	0.256433834
65	0.2534079458
66	0.2505510141
67	0.2476390852
68	0.2442890883
69	0.2424358153
70	0.2394656368
71	0.2364591037
72	0.234190912
73	0.2316286739
74	0.2290625575
75	0.2261211238
76	0.2233310855
77	0.220898303
78	0.2179836733
79	0.2154724133
80	0.2125576789
81	0.2102997361
82	0.2076218625
83	0.2055023916
84	0.203501248
85	0.2015101452
86	0.1988267122
87	0.1968846665
88	0.1949951332
89	0.1929778337
90	0.1912393862
91	0.1894181467
92	0.1875922595
93	0.1857288042
94	0.1841916599
95	0.1821602061
96	0.1800837434
97	0.1781885203
98	0.1764628984
99	0.1745327902
100	0.1726601657
101	0.1708505384
102	0.1693853548
103	0.1681444725
104	0.1663447138
105	0.1646773757
106	0.1631691724
107	0.1613607924
108	0.1598080145
109	0.1579285517
110	0.15653221
111	0.1548850574
112	0.1534657494
113	0.1519474748
114	0.1503318293
115	0.1485499317
116	0.1473002908
117	0.1460836238
118	0.145174601
119	0.1436089778
120	0.1426974957
121	0.1415646214
122	0.1403586107
123	0.139548437
124	0.1385704821
125	0.1372025538
126	0.1361318628
127	0.1352715318
128	0.1342698217
129	0.1331738661
130	0.1321505144
131	0.1312276575
132	0.1300687859
133	0.1291962495
134	0.1284133673
135	0.1274968024
136	0.1262051316
137	0.1252746933
138	0.1242139475
139	0.1233838199
140	0.1224386843
141	0.1216557532
142	0.1206446028
143	0.1196986128
144	0.1189616745
145	0.1179590848
146	0.1173647517
147	0.1167215233
148	0.1157586715
149	0.1147203039
150	0.1137969216
151	0.112969372
152	0.112257006
153	0.1114506699
154	0.11071873
155	0.1101567376
156	0.1092158702
157	0.1085255737
158	0.1076163446
159	0.1068711315
160	0.1060664812
161	0.1053939562
162	0.1045825112
163	0.1038000901
164	0.1032604547
165	0.1023867442
166	0.1017982422
167	0.1011114736
168	0.1005543475
169	0.09987755829
170	0.09926081659
171	0.09858620374
172	0.09801900791
173	0.0974418942
174	0.09674186118
175	0.09630795688
176	0.09562778181
177	0.09505673361
178	0.09435773554
179	0.09367580378
180	0.09303672204
181	0.09265907818
182	0.09203668542
183	0.09151598505
184	0.0908632695
185	0.09052758264
186	0.08993206123
187	0.08930618297
188	0.08859701959
189	0.08809078958
190	0.08753573847
191	0.08695873092
192	0.08645395572
193	0.08605595079
194	0.08548139661
195	0.0848707852
196	0.08429439561
197	0.08378031489
198	0.08316338785
199	0.08268889851
200	0.08214522745
201	0.08156991662
202	0.08130503182
203	0.08080370133
204	0.08042182676
205	0.079860177
206	0.07938178215
207	0.07881026066
208	0.0782853782
209	0.07783623626
210	0.07752900361
211	0.07697534095
212	0.07654524514
213	0.0760404217
214	0.07550731668
215	0.07517367906
216	0.07480408964
217	0.0745482022
218	0.07430688185
219	0.07375969796
220	0.07336659811
221	0.07292952987
222	0.07250247164
223	0.07216682348
224	0.07166159157
225	0.07134587627
226	0.07098998854
227	0.07060873464
228	0.07029703056
229	0.06992017582
230	0.06961393738
231	0.06924461415
232	0.06885661248
233	0.06850606435
234	0.06810667546
235	0.06772371251
236	0.06736674062
237	0.06695009968
238	0.06671094985
239	0.06627197163
240	0.06598933392
241	0.06563895409
242	0.06532077934
243	0.06487634115
244	0.064412048
245	0.06425508104
246	0.0639206271
247	0.06357326146
248	0.06332894741
249	0.06307094015
250	0.06272187837
251	0.06230774749
252	0.06202159844
253	0.06174698283
254	0.06142973807
255	0.06120552623
256	0.06095869324
257	0.06070824171
258	0.06033300275
259	0.0600648217
260	0.0597589078
261	0.05947037809
262	0.05923848118
263	0.05900377986
264	0.05881344942
265	0.05856835616
266	0.05826180756
267	0.05807205909
268	0.05782488617
269	0.05760660336
270	0.05743771543
271	0.05720581248
272	0.05704724146
273	0.05678024476
274	0.05651762446
275	0.05627491314
276	0.05602256175
277	0.05585094596
278	0.05561271834
279	0.05530375346
280	0.05508848486
281	0.05484366411
282	0.0545820199
283	0.05437383774
284	0.05417008012
285	0.05391116833
286	0.05371562162
287	0.05351418929
288	0.05332929627
289	0.05304056482
290	0.05285694208
291	0.05259259324
292	0.0523958264
293	0.05212137049
294	0.05183475006
295	0.05163951555
296	0.05143381285
297	0.05119698922
298	0.05099969481
299	0.05086196471
300	0.05068281022
301	0.05046644813
302	0.05032378797
303	0.05016968645
304	0.04993068547
305	0.04969990438
306	0.04947598756
307	0.04927586151
308	0.04906386401
309	0.04884631378
310	0.04864781331
311	0.04845848154
312	0.04823666223
313	0.04809705292
314	0.04796688791
315	0.04778972095
316	0.04760020913
317	0.0474424448
318	0.04723769221
319	0.04707452098
320	0.04680789308
321	0.04660674682
322	0.04644058847
323	0.04627945815
324	0.04606636979
325	0.04582693755
326	0.04563891715
327	0.04547413106
328	0.04526083656
329	0.04504657397
330	0.0449084515
331	0.04475937202
332	0.04457297445
333	0.04445388478
334	0.04423086475
335	0.04403716153
336	0.0438424581
337	0.04363510173
338	0.0434804884
339	0.04329609022
340	0.04314638437
341	0.04291378684
