iter	Passed	Remaining
0	4	4991
1	8	4040
2	10	3581
3	13	3257
4	15	3067
5	18	3006
6	21	2990
7	24	3001
8	27	3001
9	30	3024
10	33	3022
11	36	3033
12	39	3025
13	43	3042
14	46	3040
15	49	3047
16	52	3049
17	55	3027
18	58	3011
19	61	3002
20	64	2983
21	66	2975
22	69	2964
23	72	2954
24	75	2954
25	78	2949
26	81	2938
27	84	2927
28	87	2913
29	89	2895
30	92	2878
31	94	2865
32	97	2856
33	100	2845
34	102	2837
35	106	2839
36	109	2845
37	112	2839
38	115	2837
39	117	2821
40	120	2808
41	122	2797
42	125	2785
43	127	2772
44	129	2757
45	132	2748
46	134	2737
47	137	2724
48	139	2711
49	142	2706
50	145	2699
51	147	2696
52	150	2687
53	153	2682
54	155	2673
55	157	2662
56	160	2654
57	162	2644
58	165	2638
59	167	2630
60	170	2622
61	172	2616
62	175	2607
63	177	2598
64	180	2597
65	183	2597
66	186	2593
67	189	2591
68	192	2594
69	195	2591
70	197	2588
71	200	2582
72	203	2580
73	206	2580
74	209	2582
75	212	2586
76	216	2590
77	219	2597
78	223	2600
79	225	2595
80	228	2588
81	230	2583
82	233	2577
83	235	2571
84	238	2569
85	241	2566
86	244	2563
87	247	2563
88	249	2557
89	252	2552
90	254	2545
91	257	2537
92	259	2531
93	262	2529
94	265	2525
95	268	2527
96	270	2522
97	273	2515
98	275	2510
99	278	2505
100	280	2500
101	283	2495
102	286	2491
103	288	2487
104	291	2482
105	293	2476
106	295	2470
107	298	2464
108	300	2458
109	303	2451
110	305	2448
111	308	2447
112	311	2447
113	314	2443
114	316	2437
115	319	2432
116	321	2427
117	324	2423
118	326	2419
119	329	2414
120	331	2411
121	334	2410
122	338	2410
123	340	2408
124	343	2403
125	345	2397
126	348	2393
127	350	2389
128	353	2384
129	355	2381
130	358	2377
131	360	2371
132	363	2369
133	365	2364
134	368	2360
135	370	2355
136	373	2351
137	375	2347
138	378	2342
139	381	2343
140	384	2341
141	386	2336
142	389	2332
143	391	2327
144	393	2323
145	396	2318
146	398	2314
147	401	2310
148	404	2309
149	407	2309
150	410	2307
151	412	2303
152	415	2300
153	417	2295
154	420	2292
155	423	2289
156	425	2286
157	428	2282
158	431	2281
159	434	2278
160	436	2274
161	438	2269
162	440	2264
163	443	2259
164	445	2254
165	447	2249
166	450	2244
167	452	2240
168	454	2234
169	456	2229
170	459	2225
171	461	2220
172	463	2215
173	465	2211
174	468	2206
175	470	2201
176	472	2197
177	475	2193
178	477	2189
179	479	2185
180	482	2181
181	484	2177
182	486	2173
183	488	2168
184	491	2163
185	493	2159
186	495	2155
187	498	2151
188	500	2146
189	502	2143
190	505	2139
191	507	2134
192	509	2130
193	511	2126
194	514	2123
195	517	2122
196	520	2121
197	523	2119
198	525	2116
199	528	2114
200	531	2112
201	533	2108
202	536	2105
203	538	2102
204	541	2099
205	543	2096
206	547	2095
207	549	2093
208	552	2092
209	556	2093
210	560	2094
211	563	2094
212	566	2093
213	569	2092
214	572	2091
215	576	2090
216	579	2089
217	581	2086
218	585	2086
219	588	2085
220	591	2084
221	594	2084
222	598	2083
223	601	2083
224	604	2082
225	607	2082
226	611	2081
227	614	2079
228	617	2080
229	621	2081
230	625	2080
231	628	2080
232	631	2078
233	634	2078
234	638	2078
235	641	2077
236	645	2076
237	648	2074
238	651	2073
239	654	2073
240	657	2072
241	661	2070
242	664	2069
243	668	2070
244	671	2067
245	674	2067
246	677	2065
247	681	2065
248	684	2063
249	687	2062
250	690	2060
251	693	2059
252	696	2057
253	700	2056
254	703	2055
255	707	2055
256	710	2053
257	713	2053
258	717	2052
259	721	2052
260	724	2051
261	728	2050
262	731	2050
263	735	2049
264	738	2048
265	742	2047
266	745	2046
267	748	2045
268	752	2044
269	756	2044
270	759	2042
271	763	2042
272	766	2041
273	770	2042
274	774	2041
275	777	2040
276	781	2039
277	784	2038
278	788	2037
279	791	2036
280	795	2034
281	799	2035
282	802	2033
283	806	2033
284	810	2032
285	813	2030
286	816	2029
287	820	2028
288	824	2027
289	827	2026
290	831	2025
291	835	2025
292	838	2023
293	842	2022
294	845	2021
295	849	2020
296	853	2020
297	857	2019
298	860	2018
299	864	2016
300	867	2015
301	871	2013
302	874	2011
303	878	2010
304	881	2009
305	885	2008
306	889	2006
307	892	2004
308	896	2003
309	899	2002
310	903	2001
311	906	1999
312	910	1997
313	913	1996
314	917	1994
315	920	1993
316	924	1991
317	927	1989
318	930	1987
319	934	1985
320	938	1984
321	941	1982
322	944	1980
323	948	1978
324	951	1976
325	954	1974
326	957	1970
327	961	1969
328	964	1967
329	968	1965
330	971	1963
331	974	1960
332	977	1958
333	980	1954
334	983	1953
335	987	1950
336	990	1949
337	993	1946
338	997	1944
339	1000	1942
340	1003	1940
341	1007	1937
342	1010	1935
343	1013	1932
344	1016	1929
345	1019	1926
346	1022	1923
347	1025	1921
348	1029	1919
349	1032	1916
350	1035	1913
351	1038	1911
352	1040	1907
353	1043	1904
354	1046	1901
355	1049	1897
356	1051	1894
357	1054	1890
358	1057	1887
359	1059	1884
360	1062	1881
361	1065	1878
362	1068	1875
363	1071	1872
364	1074	1869
365	1077	1866
366	1080	1862
367	1082	1859
368	1086	1857
369	1088	1853
370	1091	1850
371	1094	1847
372	1097	1844
373	1100	1841
374	1103	1838
375	1106	1835
376	1108	1832
377	1111	1829
378	1114	1826
379	1117	1822
380	1120	1820
381	1123	1817
382	1126	1814
383	1129	1811
384	1132	1808
